timestamp,equity,cash,position_value,price
2025-08-29 00:00:00+00:00,100000.0,100000.0,0.0,108410.8359375
2025-08-30 00:00:00+00:00,100000.0,100000.0,0.0,108808.0703125
2025-08-31 00:00:00+00:00,100000.0,100000.0,0.0,108236.7109375
2025-09-01 00:00:00+00:00,100000.0,100000.0,0.0,109250.59375
2025-09-02 00:00:00+00:00,100000.0,100000.0,0.0,111200.5859375
2025-09-03 00:00:00+00:00,100000.0,100000.0,0.0,111723.2109375
2025-09-04 00:00:00+00:00,100000.0,100000.0,0.0,110723.6015625
2025-09-05 00:00:00+00:00,100000.0,100000.0,0.0,110650.984375
2025-09-06 00:00:00+00:00,100000.0,100000.0,0.0,110224.6953125
2025-09-07 00:00:00+00:00,100000.0,100000.0,0.0,111167.6171875
2025-09-08 00:00:00+00:00,100000.0,100000.0,0.0,112071.4296875
2025-09-09 00:00:00+00:00,100000.0,100000.0,0.0,111530.546875
2025-09-10 00:00:00+00:00,100000.0,100000.0,0.0,113955.359375
2025-09-11 00:00:00+00:00,100000.0,100000.0,0.0,115507.5390625
2025-09-12 00:00:00+00:00,100000.0,100000.0,0.0,116101.578125
2025-09-13 00:00:00+00:00,100000.0,100000.0,0.0,115950.5078125
2025-09-14 00:00:00+00:00,100000.0,100000.0,0.0,115407.65625
2025-09-15 00:00:00+00:00,100000.0,100000.0,0.0,115444.875
2025-09-16 00:00:00+00:00,100000.0,100000.0,0.0,116843.1875
2025-09-17 00:00:00+00:00,100000.0,100000.0,0.0,116468.5078125
2025-09-18 00:00:00+00:00,100000.0,100000.0,0.0,117137.203125
2025-09-19 00:00:00+00:00,100000.0,100000.0,0.0,115688.859375
2025-09-20 00:00:00+00:00,100000.0,100000.0,0.0,115721.9609375
2025-09-21 00:00:00+00:00,100000.0,100000.0,0.0,115306.09375
2025-09-22 00:00:00+00:00,100000.0,100000.0,0.0,112748.5078125
2025-09-23 00:00:00+00:00,100000.0,100000.0,0.0,112014.5
2025-09-24 00:00:00+00:00,100000.0,100000.0,0.0,113328.6328125
2025-09-25 00:00:00+00:00,100000.0,100000.0,0.0,109049.2890625
2025-09-26 00:00:00+00:00,100000.0,100000.0,0.0,109712.828125
2025-09-27 00:00:00+00:00,100000.0,100000.0,0.0,109681.9453125
2025-09-28 00:00:00+00:00,100000.0,100000.0,0.0,112122.640625
2025-09-29 00:00:00+00:00,100000.0,100000.0,0.0,114400.3828125
2025-09-30 00:00:00+00:00,100000.0,100000.0,0.0,114056.0859375
2025-10-01 00:00:00+00:00,100000.0,100000.0,0.0,118648.9296875
2025-10-02 00:00:00+00:00,100000.0,100000.0,0.0,120681.2578125
2025-10-03 00:00:00+00:00,100000.0,100000.0,0.0,122266.53125
2025-10-04 00:00:00+00:00,100000.0,100000.0,0.0,122425.4296875
2025-10-05 00:00:00+00:00,100000.0,100000.0,0.0,123513.4765625
2025-10-06 00:00:00+00:00,100000.0,100000.0,0.0,124752.53125
2025-10-07 00:00:00+00:00,100000.0,100000.0,0.0,121451.3828125
2025-10-08 00:00:00+00:00,100000.0,100000.0,0.0,123354.8671875
2025-10-09 00:00:00+00:00,100000.0,100000.0,0.0,121705.5859375
2025-10-10 00:00:00+00:00,100000.0,100000.0,0.0,113214.3671875
2025-10-11 00:00:00+00:00,100000.0,100000.0,0.0,110807.8828125
2025-10-12 00:00:00+00:00,100000.0,100000.0,0.0,115169.765625
